PMemb,Cluster,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,matched_observations,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,l,b,Ecl_Lon,Ecl_Lat,ruwe,mag
0.7,NGC_869,4.5838E+17,34.63569352,0.016828848,57.26569528,0.023012886,0.400924433,0.031030897,12.92017,-0.856889658,0.051223674,-1.086283388,0.056980585,0.302106,0.06987348,-0.06128789,-0.01500187,-0.1294082,-0.09312145,-0.03954283,0.4252157,0.2362916,0.3011773,229,228,-5.129658,130.7959,63.87693,1.6413893,0.004232276,-0.009248472,26,13,0.06646867,30,247,52452.52193,13.42996294,3905.634,13.88895,28,30627.88044,58.7303888,521.4997,14.1361,27,33083.48118,52.92896699,625.0544,13.46289,1.214648,0.6732044,0.2471466,0.4260578,134.5279588,-3.631868342,54.18635047,40.50566428,0.8536798,13.88895
0.8,NGC_869,4.58375E+17,34.79352805,0.031134511,57.13057866,0.041183753,0.417340389,0.051041996,8.176412,-0.746226723,0.103084864,-1.064086826,0.118651442,0.3950239,-0.04464007,0.006104648,-0.1502726,-0.04650494,-0.1690825,-0.06505746,0.18577,0.09605126,0.343385,238,235,8.517039,464.2321,115.5056,1.6605883,0.006856748,-0.003650502,27,13,0.07801965,30,261,8576529.555,3569.168222,2402.949,8.355086,25,5065355.626,7260.155545,697.6924,8.589864,27,5139796.512,10325.24815,497.7892,7.984555,1.189893,0.6053085,0.2347775,0.3705311,134.653731,-3.730934399,54.21154503,40.34692026,0.95345986,8.355086
0.7,NGC_869,4.58378E+17,34.75113173,0.047745785,57.13255508,0.071654568,0.361861501,0.083186876,4.349983,-0.755563423,0.122719093,-0.752391798,0.1612255,-0.2316861,0.4135204,0.1264364,0.2063856,-0.4989097,-0.1282796,-0.4381659,0.2821662,0.4154399,0.1796262,111,111,0.06876954,106.335,9.394766,1.5440748,0.013327077,0.055661,13,9,0.1580295,17,125,8368.102892,7.487337502,1117.634,15.8818,14,4219.486069,24.09884969,175.0908,16.28824,14,6455.03637,22.69443839,284.4325,15.23717,1.27562,1.051065,0.4064407,0.6446247,134.6313285,-3.736729124,54.18538038,40.35857106,1.0444157,15.8818
0.6,NGC_869,4.58378E+17,34.72000676,0.02991265,57.14184273,0.049694548,0.513117202,0.059943407,8.560027,-0.838628954,0.0868868,-1.436883271,0.170304144,0.4835111,0.15822,-0.08884136,-0.1038673,-0.1517982,-0.05490888,0.1088991,0.1347861,-0.3316583,0.4977733,199,197,5.90047,331.4283,286.8692,1.6979293,0.006644701,0.05864789,23,9,0.1022879,30,217,221027.8411,89.39707684,2472.428,12.32725,23,139256.4777,411.8869306,338.0939,12.49185,20,127791.2859,259.2946903,492.8419,11.99567,1.208209,0.4961834,0.1646013,0.3315821,134.6122721,-3.733581903,54.17058719,40.37420658,0.9918625,12.32725
0.1,NGC_869,4.5838E+17,34.66563863,0.03317542,57.27311681,0.051442015,0.320450936,0.058776464,5.452028,-0.601684911,0.110556805,-0.652246306,0.127623102,0.3299467,-0.1412802,0.1347082,0.1344106,-0.302071,0.1082353,0.353546,0.07320873,-0.006233664,0.3199824,238,237,0.5346434,243.0199,7.44776,1.5443212,0.008769468,0.03049005,27,12,0.1320858,29,254,6906.273129,4.372861856,1579.349,16.09026,27,3250.707581,22.59118652,143.8927,16.57144,25,5465.223649,12.71991285,429.6589,15.4179,1.262031,1.153543,0.4811878,0.6723557,134.5408057,-3.619505279,54.2097726,40.50539533,1.0579638,16.09026
0.7,NGC_869,4.58375E+17,34.80197507,0.020978606,57.12664047,0.033164693,0.366020665,0.034509015,10.60652,-0.718976864,0.056897692,-0.887969805,0.082619154,0.4746327,0.156127,-0.1039795,-0.1730793,0.09556458,-0.1114079,-0.2913102,0.2756326,-0.0129318,0.2652276,219,218,-3.241427,152.3241,29.84789,1.6127341,0.00499445,0.06504545,25,11,0.08845563,31,229,25126.54776,11.18199387,2247.054,14.68803,16,14143.18168,101.8315975,138.888,14.97502,12,17513.68532,115.2895485,151.9104,14.15348,1.259897,0.8215446,0.2869864,0.5345583,134.6593778,-3.733119853,54.21476544,40.34139723,0.9371332,14.68803
0.6,NGC_869,4.5838E+17,34.65045139,0.019042082,57.26532082,0.027817363,0.302858917,0.037241795,8.132232,-0.826539594,0.057914924,-1.015599142,0.064394868,0.2513343,0.0451666,-0.1116602,-0.01979152,-0.2210136,-0.1281753,-0.03711915,0.4083901,0.2239054,0.2739345,226,225,-4.518198,137.6951,36.23153,1.6284184,0.004991367,-0.01993848,26,13,0.07163111,30,244,30225.41789,9.56870749,3158.778,14.48744,26,17360.30599,31.25691462,555.4069,14.75249,22,19419.08509,29.94314426,648.5319,14.04135,1.216836,0.7111464,0.2650595,0.4460869,134.5356287,-3.629580706,54.19561205,40.50189163,0.85991114,14.48744
0.9,NGC_869,4.58379E+17,34.62673116,0.015460908,57.24882409,0.024065208,0.419584607,0.027464263,15.27748,-0.769897915,0.048022784,-0.953107161,0.073917898,0.2998252,0.06994837,-0.09757946,-0.1388456,-0.1455052,-0.1860105,-0.2789445,0.2488446,0.1072173,0.3846313,247,247,-4.352283,157.821,51.46422,1.6197729,0.003819084,0.07597691,28,12,0.08457863,31,258,42893.24388,12.01388394,3570.306,14.10739,28,23972.45274,33.3224013,719.4095,14.40211,27,28202.06388,39.81467936,708.3333,13.63622,1.216381,0.7658892,0.294714,0.4711752,134.5289668,-3.649393266,54.17104673,40.49252236,0.9224519,14.10739
1,NGC_869,4.58368E+17,34.77943476,0.017809441,57.01174282,0.024142343,0.418922044,0.03156411,13.2721,-0.6190791,0.059744872,-1.022282706,0.066937083,0.3602432,0.04803058,0.05708295,-0.09039859,-0.09387603,-0.1250192,-0.1509736,0.3191519,0.1458632,0.3437147,229,229,-3.258194,161.3359,52.49513,1.6391188,0.004369035,-0.01589964,26,13,0.07817385,28,244,44263.75838,10.55871302,4192.155,14.07325,28,25608.74925,40.63710669,630.1814,14.33042,28,28074.82851,42.93755579,653.8525,13.64113,1.212811,0.68929,0.2571726,0.4321175,134.686159,-3.845536578,54.13573528,40.24281811,0.9432721,14.07325
0.4,NGC_869,4.58375E+17,34.77686498,0.046647608,57.1291589,0.044701056,0.383384269,0.055063576,6.962575,-0.721711236,0.145658749,-0.605025735,0.112997694,0.2210283,-2.14E-04,0.2012503,-0.1388297,-0.205646,-0.1888134,-0.2036665,0.09075936,0.2958836,0.2169951,123,123,-2.598287,81.89223,11.83578,1.5987661,0.011664254,-0.008204212,14,10,0.1433132,27,133,11376.66491,12.01162544,947.1378,15.54833,7,6137.363427,138.8554215,44.19967,15.88143,9,8549.498797,140.7253966,60.75306,14.93207,1.290964,0.9493647,0.3331051,0.6162596,134.6456592,-3.735284936,54.2000256,40.34951423,0.88204765,15.54833
