dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra_1,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,PMemb,Cluster,Separation
0.042230401,1.63572E+18,Gaia DR2 3326717191711253632,3.32672E+18,374158218,2015.5,100.2321583,0.029827017,9.853821642,0.02902524,1.298309839,0.033407901,38.86236,-1.820133166,0.059559425,-3.740829753,0.052955495,-0.11848377,0.031608906,-0.14919455,0.28998753,-0.36916018,0.21341564,-0.2993726,0.13523369,0.06692142,-0.067933455,178,0,178,0,-0.89146775,156.318,0,0,31,FALSE,20.467577,1.42502985,0.007636117,-0.027344655,20,11,0.06402143,0,20,FALSE,178,16788.13236,35.09936802,478.30298,15.12586,20,5881.046067,56.55958585,103.97965,15.927752,20,16615.01312,78.8888511,210.61295,14.210669,1.3399978,0,1.717083,0.8018913,0.91519165,NOT_AVAILABLE,202.9681308,2.1686013,100.3569414,-13.21834172,100001,4204.2324,4033.62,4530.125,200111,1.4362652,1.2370512,1.5603359,0.5806452,0.5452674,0.616023,Gaia DR2 3326717191711253632,,1,NGC_2264,1.19E-08
0.043753211,1.63572E+18,Gaia DR2 3326739869138571776,3.32674E+18,1641860267,2015.5,100.2712273,0.037096463,9.862346777,0.033938035,1.375837037,0.039245722,35.056995,-1.618165224,0.071259684,-3.685656665,0.057064327,0.05234818,0.17549212,-0.49185526,-0.10030985,-0.43951753,-0.20762439,-0.52048856,0.2244297,0.14265023,0.2300047,141,0,141,0,0.029593777,135.82149,0,0,31,FALSE,28.08083,1.447341816,0.007807552,0.044432048,16,10,0.07915227,0,16,FALSE,141,22893.30808,158.8105874,144.1548,14.789094,15,8690.239842,262.9210731,33.052658,15.503809,15,21449.47725,429.6224447,49.926342,13.933378,1.3165296,0,1.5704308,0.714715,0.85571575,NOT_AVAILABLE,202.9781254,2.206740157,100.3957387,-13.20704006,100001,4324.887,4210.297,4614.6304,200111,1.4496865,1.273356,1.5296717,0.66243315,0.61893827,0.705928,Gaia DR2 3326739869138571776,,1,NGC_2264,1.75E-08
0.045240858,1.63572E+18,Gaia DR2 3326717535308637184,3.32672E+18,1463136306,2015.5,100.1966885,0.102771119,9.885868568,0.102882593,1.428909332,0.121745651,11.736841,-1.797373915,0.196494578,-4.020632273,0.172298742,-0.042400166,-0.19617024,-0.21966767,0.3249214,-0.4459724,0.20932323,-0.34630138,0.2205285,0.07865118,-0.12287378,157,0,157,0,3.4867969,220.40457,0.356895059,2.22150117,31,FALSE,1.7387823,1.350382986,0.027277216,-0.025003014,18,11,0.18758346,0,18,FALSE,157,2369.783574,6.336017296,374.01785,17.251595,15,748.9654468,20.52768186,36.485634,18.165234,18,2803.757429,21.51537254,130.31415,16.142569,1.4991761,0,2.022665,0.91363907,1.109026,NOT_AVAILABLE,202.9236321,2.152144412,100.318757,-13.18891093,,,,,,,,,,,,Gaia DR2 3326717535308637184,,0.9,NGC_2264,1.55E-08
0.045975094,1.63572E+18,Gaia DR2 3326740075296996736,3.32674E+18,289548265,2015.5,100.2868866,0.092189254,9.883634293,0.082625823,1.44312163,0.093037256,15.511223,-1.46449984,0.173903923,-3.853637379,0.155394369,-0.24770091,0.2743385,-0.37280634,0.18521021,-0.29590976,0.12553845,-0.42431977,0.115378946,0.08617586,-0.15811011,161,0,161,0,2.2959156,199.38344,0.270271636,1.541566191,31,FALSE,2.2650554,1.282532187,0.021110468,-0.09872641,18,11,0.17127872,0,18,FALSE,161,2435.879526,83.04925235,29.330542,17.221725,16,685.5217436,53.39899145,12.8377285,18.261335,16,3297.442186,377.0338137,8.745747,15.966477,1.6351235,0,2.294858,1.0396099,1.2552481,NOT_AVAILABLE,202.9662176,2.230183298,100.4099483,-13.18468445,,,,,,,,,,,,Gaia DR2 3326740075296996736,,0.9,NGC_2264,1.13E-08
0.046099699,1.63572E+18,Gaia DR2 3326739869138572032,3.32674E+18,53509711,2015.5,100.2684844,0.068711662,9.857222385,0.064311906,1.562659755,0.07623311,20.49844,-0.925935753,0.145314846,-3.334772474,0.13489624,-0.12697937,0.0846498,-0.17394446,0.10140859,-0.32104066,0.061486464,-0.227073,0.070978746,0.15759753,-0.20089655,159,9,159,0,27.795942,1335.3636,0.4909503,39.23904692,31,FALSE,3.5818574,1.462424957,0.017904478,-0.102004394,18,11,0.13744333,0,19,FALSE,159,37151.58079,48.97709929,758.55005,14.263422,15,14853.4858,97.083313,152.99731,14.921817,15,32884.55342,119.1596034,275.97064,13.46944,1.2849531,0,1.4523764,0.6583948,0.79398155,NOT_AVAILABLE,202.9814537,2.201996619,100.3933537,-13.2123477,100001,4462.397,4374.38,4597.8022,200111,1.480711,1.3947814,1.5408974,0.783264,0.7063609,0.8601671,Gaia DR2 3326739869138572032,,0.3,NGC_2264,9.32E-09
0.046622299,1.63572E+18,Gaia DR2 3326929225657356288,3.32693E+18,1175361509,2015.5,100.2409439,0.025772849,9.941616862,0.026358163,1.357154071,0.029956904,45.30355,-1.451932743,0.051590944,-3.865899404,0.043712559,-0.15975931,0.063083075,-0.3706283,0.20384616,-0.4957499,0.09370473,-0.42500353,0.14347742,0.04896582,0.059681904,140,0,140,0,-6.4971395,53.54952,0,0,31,TRUE,100.30506,1.531702429,0.006253868,-0.013416795,16,11,0.056703337,0,16,FALSE,140,79653.86894,101.0960122,787.9032,13.4353485,14,36458.33258,117.9491015,309.10226,13.946897,15,62172.33171,203.0452857,306.19934,12.777927,1.2382407,0,1.1689692,0.51154804,0.6574211,NOT_AVAILABLE,202.8939156,2.216382849,100.3592604,-13.13014984,100001,4932,4899,5095.5,200111,1.8953916,1.7757076,1.9210125,1.9150709,1.8124386,2.0177033,Gaia DR2 3326929225657356288,,1,NGC_2264,1.88E-08
0.046716889,1.63572E+18,Gaia DR2 3326928882059976576,3.32693E+18,354049757,2015.5,100.2119159,0.03866462,9.931381195,0.036575386,1.374702888,0.048005392,28.636427,-1.532892805,0.071693316,-3.700138621,0.060077722,-0.044236623,0.24602576,0.0839376,0.36118397,-0.48388898,0.104767025,-0.2666766,0.3335547,0.22354625,0.14208585,142,0,142,0,-0.5030626,128.20154,0,0,31,FALSE,20.7862,1.440364831,0.009185408,0.043516017,16,10,0.07347053,0,17,FALSE,142,17296.99006,153.7487327,112.50168,15.093439,14,6176.192945,257.3032796,24.003553,15.874586,15,17242.85132,423.8252524,40.68387,14.170397,1.3539375,0,1.7041893,0.781147,0.9230423,NOT_AVAILABLE,202.8899659,2.186270946,100.3307391,-13.14243205,100001,4188.5737,4058.4827,4284,200111,1.3932066,1.3318304,1.4839541,0.5382579,0.49642795,0.58008784,Gaia DR2 3326928882059976576,,1,NGC_2264,1.25E-08
0.047331473,1.63572E+18,Gaia DR2 3326740075296996608,3.32674E+18,669586837,2015.5,100.2883306,0.080590579,9.883731465,0.081427871,1.456876921,0.078880079,18.469517,-1.381547744,0.147312321,-3.806088015,0.139559127,-0.523801,0.10280758,-0.40858006,0.5113141,-0.30623636,0.38421956,-0.55356187,0.2497921,0.07670757,-0.43986174,157,0,155,2,3.2987592,213.85217,0.288887519,3.174381858,31,FALSE,3.5990098,1.38341652,0.018468055,-0.14738454,18,10,0.17399064,0,18,FALSE,157,4760.702088,37.24616102,127.81725,16.494188,16,1167.366838,53.90388135,21.656452,17.68337,16,5719.302505,116.4449773,49.11592,15.368563,1.4465659,0,2.314808,1.1891823,1.1256256,NOT_AVAILABLE,202.9667808,2.231493329,100.4113981,-13.18448375,100001,3608.005,3417,4477.88,200111,1.1254046,0.73063093,1.2547377,0.1933662,0.17143314,0.21529926,Gaia DR2 3326740075296996608,,1,NGC_2264,1.89E-08
0.04923741,1.63572E+18,Gaia DR2 3326716397142282240,3.32672E+18,1029382269,2015.5,100.2299225,0.031298395,9.84714136,0.029871371,1.271324268,0.033858948,37.54766,-1.759068397,0.061994093,-2.657967839,0.056450085,-0.19190632,0.06330531,-0.24941835,0.25215766,-0.2874798,0.17667186,-0.37854123,0.19797094,0.11961565,-0.18202521,186,0,182,4,-0.31615195,170.46704,0.032399095,0.107688204,31,FALSE,16.836542,1.433081651,0.008172559,-0.070712335,21,11,0.069860585,0,21,TRUE,186,14223.47473,97.04063107,146.57236,15.305852,20,4963.427443,138.7082161,35.783226,16.111935,19,14070.34003,230.5439301,61.03106,14.391158,1.3381939,0,1.7207766,0.8060827,0.91469383,NOT_AVAILABLE,202.9730719,2.163591371,100.3551825,-13.22516426,100001,4177.5,3985.2349,4364.955,200111,1.3776449,1.2618585,1.5137787,0.520757,0.48784128,0.55367273,Gaia DR2 3326716397142282240,,0.1,NGC_2264,1.32E-08
0.049677408,1.63572E+18,Gaia DR2 3326717226070995328,3.32672E+18,1213005143,2015.5,100.2036895,0.042449149,9.862319253,0.041413539,1.298197214,0.048081696,26.99982,-1.662281548,0.083991807,-3.674126641,0.073062237,-0.035603154,-0.09795162,-0.18120384,0.27914765,-0.3645743,0.19083317,-0.32606846,0.1818548,0.037083574,-3.38E-04,158,158,154,4,13.911573,539.7039,0.069066341,1.356909794,31,TRUE,100.77722,1.73951974,0.011921628,-0.029337605,18,11,0.052215572,0,18,TRUE,153,1896400.752,1870.812626,1013.67755,9.993541,17,1267542.778,4868.536962,260.35394,10.093982,16,942916.0782,2110.720794,446.72705,9.825737,1.1656075,0,0.26824474,0.10044098,0.16780376,NOT_AVAILABLE,202.9477494,2.147527297,100.3275731,-13.21189947,100001,8082.3335,6667,8556,,,,,,,,Gaia DR2 3326717226070995328,,1,NGC_2264,1.46E-08
0.05029224,1.63572E+18,Gaia DR2 3326929221360454912,3.32693E+18,703604441,2015.5,100.2378064,0.146928776,9.945148281,0.159689852,1.275402071,0.183474063,6.9514027,-1.427996149,0.282047073,-3.882391617,0.254184795,-0.18581414,-0.047764238,-0.2748464,0.3545893,-0.5391921,0.17122646,-0.41672903,0.2366696,0.14883852,-0.20101711,148,0,148,0,2.8611825,196.22537,0.496983864,2.305091267,31,FALSE,0.8889717,1.258525628,0.03717151,-0.06306844,17,11,0.2787685,0,17,FALSE,147,1406.45723,3.049271585,461.24368,17.818048,12,307.4117843,16.15546876,19.028341,19.132088,13,2017.831754,15.62834094,129.11363,16.499708,1.6532629,0,2.6323795,1.3140392,1.3183403,NOT_AVAILABLE,202.8893595,2.215245384,100.3558322,-13.12685212,,,,,,,,,,,,Gaia DR2 3326929221360454912,,0.9,NGC_2264,1.67E-08
0.050666999,1.63572E+18,Gaia DR2 3326717157351518336,3.32672E+18,1157960630,2015.5,100.2189035,0.07546729,9.849566386,0.071070234,1.424676899,0.079889109,17.833181,-2.893620771,0.146035523,-3.684103645,0.127422165,-0.12900986,-0.027375214,-0.13688818,0.40666395,-0.26714614,0.3249618,-0.32270858,0.22258946,0.045207817,-0.10776302,159,0,158,1,1.0598713,171.57854,0.095597016,0.244689927,31,FALSE,3.2466042,1.315836677,0.019735539,-0.045022797,18,11,0.14232455,0,18,FALSE,158,3329.29679,10.21177328,326.02533,16.882484,14,1017.287854,30.44733731,33.41139,17.832779,11,4141.344075,64.78069698,63.928673,15.719067,1.5494659,1,2.1137123,0.9502945,1.1634178,NOT_AVAILABLE,202.9659524,2.15503971,100.3438789,-13.22353306,102002,3724.2974,3456.5,4238.3267,200111,0.8665869,0.6691323,1.006069,0.13016565,0.114920534,0.14541076,Gaia DR2 3326717157351518336,,0.8,NGC_2264,1.90E-08
0.05203505,1.63572E+18,Gaia DR2 3326740006577519360,3.32674E+18,338009198,2015.5,100.2932541,0.051973972,9.883824874,0.053140375,1.166295827,0.061081334,19.094145,-1.77296785,0.099508477,-4.213214168,0.093443904,-0.3016528,0.10637928,-0.2939462,0.308379,-0.40382665,0.12746298,-0.43541947,0.31691542,0.17210461,-0.24994807,156,156,154,2,17.077967,679.16113,0.137515183,5.479144732,31,FALSE,37.789845,1.775598869,0.013532946,-0.13038279,18,11,0.0653994,0,18,FALSE,145,2058034.149,1104.499903,1863.3176,9.904735,16,1499564.208,1790.222162,837.6414,9.911475,16,870721.4168,800.6426506,1087.5282,9.912222,1.1517231,0,-7.47E-04,0.00674057,-0.007487297,NOT_AVAILABLE,202.9689131,2.235851757,100.4163596,-13.18403658,100001,9670.667,9200.25,9831,,,,,,,,Gaia DR2 3326740006577519360,,0.8,NGC_2264,1.56E-08
0.052952746,1.63572E+18,Gaia DR2 3326717221776056448,3.32672E+18,1574263252,2015.5,100.2082689,0.140174825,9.85351044,0.136634247,1.111027724,0.164103121,6.7703023,-1.623780567,0.27160133,-3.53978587,0.237053906,0.025869062,-0.23664877,-0.18946044,0.23160082,-0.4309431,0.17926736,-0.34137774,0.1853289,0.13724107,-0.12974496,150,0,150,0,1.870508,178.47629,0.37921529,1.365799981,31,FALSE,0.93238246,1.301568243,0.037558737,-0.06111303,17,11,0.25353837,0,17,FALSE,150,1305.652484,7.31351609,178.52596,17.898796,14,723.7226225,85.97510455,8.417816,18.202457,13,1859.031464,18.08698884,102.78281,16.588703,1.9781328,0,1.6137543,0.30366135,1.3100929,NOT_AVAILABLE,202.9576534,2.147518902,100.3328505,-13.22035852,,,,,,,,,,,,Gaia DR2 3326717221776056448,,0.7,NGC_2264,2.04E-08
0.055691356,1.63572E+18,Gaia DR2 3326928916419712896,3.32693E+18,1284043446,2015.5,100.2174701,0.065942474,9.9453332,0.066609917,1.390267906,0.078786199,17.646084,-1.365352023,0.130944602,-3.83236319,0.115272941,0.0437121,-0.13626485,-0.19939496,0.21402834,-0.49126485,0.12223639,-0.32590392,0.17592868,0.14534064,-0.034253385,168,0,168,0,0.289648,167.60577,0,0,31,FALSE,3.8131788,1.355997762,0.016694682,0.011897668,19,11,0.122612454,0,19,FALSE,167,3689.455054,14.13692269,260.98007,16.77096,17,1039.739364,28.09033317,37.014133,17.809076,18,4430.866434,70.84864515,62.53989,15.645699,1.4827679,0,2.1633778,1.0381165,1.1252613,NOT_AVAILABLE,202.8800435,2.197508325,100.3353044,-13.1281204,102001,3702.7124,3503,4100.4,200111,0.95291865,0.77703995,1.0646712,0.15377519,0.13555117,0.1719992,Gaia DR2 3326928916419712896,,1,NGC_2264,1.29E-08
0.055839293,1.63572E+18,Gaia DR2 3326740002281694592,3.32674E+18,535645129,2015.5,100.2968226,0.050815948,9.882132539,0.050553917,1.34783891,0.056103235,24.024263,-1.478468185,0.096107605,-3.855786305,0.091300856,-0.35610294,0.20152661,-0.289602,0.27336013,-0.386346,0.13733117,-0.41317815,0.23012601,0.12427822,-0.25724053,161,161,159,2,16.836754,676.9673,0.141880184,6.011601257,31,FALSE,36.901455,1.779419924,0.013207767,-0.15661809,18,11,0.06465639,0,18,FALSE,156,1731621.981,847.3592908,2043.551,10.092233,17,1289283.131,1934.294573,666.5392,10.075518,16,708209.3875,1069.139316,662.41077,10.136516,1.1535385,1,-0.060997963,-0.01671505,-0.044282913,NOT_AVAILABLE,202.9720258,2.238207412,100.4200876,-13.18546772,100002,8748.333,7420,9705,,,,,,,,Gaia DR2 3326740002281694592,,1,NGC_2264,1.42E-08
