RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,e_plx,pmRA,e_pmRA,pmDE,e_pmDE,o_Gmag,Gmag,BP-RP,PMemb,Cluster,_RA.icrs,_DE.icrs
35.69935910479,57.00094749809,458402963319874560,135.1620206419,-3.6855758379,0.3916,0.0236,-0.699,0.048,-1.267,0.054,281,13.789966,0.565026,0.6,NGC_884,35.69936463076,57.00095295323
35.99835303858,56.89664169057,458389185064853888,135.3516045847,-3.7265490869,0.3874,0.044,-0.474,0.085,-1.049,0.084,280,15.748978,0.946119,0.7,NGC_884,35.99835677534,56.8966462071
36.11234184262,57.09964826683,458397878078422400,135.3384029596,-3.5146701093,0.4758,0.0679,-0.791,0.12,-1.224,0.137,301,16.827011,1.509003,0.6,NGC_884,36.11234811254,57.09965353683
35.51437146469,56.94414650629,458404062831572096,135.0868092783,-3.773663134,0.3549,0.0525,-0.993,0.104,-1.07,0.113,271,16.031513,1.204963,0.5,NGC_884,35.51437930293,56.94415111323
35.5414126455,56.9483202797,458404028471962368,135.0992517018,-3.7646738491,0.4216,0.0447,-0.522,0.089,-1.297,0.101,269,15.688463,0.945557,0.4,NGC_884,35.54141676637,56.94832586401
35.60404292771,56.9492158609,458401210973276416,135.1310801279,-3.7520696943,0.3465,0.1669,-0.282,0.316,-1.381,0.321,258,17.940313,1.666605,0.1,NGC_884,35.60404515398,56.94922180687
35.71140724278,56.91153018078,458400420699435392,135.1992253213,-3.7671863459,0.3275,0.0276,-0.032,0.054,-1.069,0.061,245,13.798106,0.578098,0.1,NGC_884,35.71140749515,56.91153478342
36.05130446821,57.04937892625,458396980422243328,135.3249932874,-3.5733946318,0.4582,0.093,-0.155,0.188,-1.282,0.188,308,17.482992,1.470865,0.1,NGC_884,36.05130569517,57.04938444597
36.01121602786,57.11945925626,458398840151086208,135.2799186466,-3.5154132185,0.4126,0.0301,-0.346,0.056,-1.208,0.069,262,14.456753,0.807306,0.2,NGC_884,36.01121877192,57.11946445737
35.66107015484,56.93856057117,458401245333017856,135.1640228599,-3.7513308259,0.3994,0.1064,-0.466,0.212,-0.794,0.223,276,17.449808,1.486757,0.4,NGC_884,35.66107383266,56.93856398978
