RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_Gmag,Gmag,BP-RP,PMemb,Cluster,_RA.icrs,_DE.icrs
34.57483263105,57.20595982028,458373173428828928,134.5165854492,-3.6991315272,0.5221,-0.895,-0.692,271,16.85557,1.645361,0.3,NGC_869,34.57483974576,57.20596279972
34.85581902051,57.00160532995,458367297913939328,134.7288488003,-3.8412200368,0.3635,-0.652,-1.057,217,12.559162,0.558958,0.7,NGC_869,34.85582417501,57.00160988092
34.89861072077,57.08144097846,458373448307006592,134.7240823395,-3.7581955236,0.3891,-0.398,-0.81,206,15.442694,0.99314,0.5,NGC_869,34.898613874,57.08144446596
34.71955074429,57.19147428513,458378052511829248,134.5955222502,-3.686848952,0.2912,-0.847,-1.007,237,16.687725,1.614914,0.6,NGC_869,34.71955747478,57.19147862082
34.58076345019,57.18979995585,458373169123906560,134.5249690816,-3.7133256353,0.3744,-0.676,-1.003,236,13.891418,0.599612,0.6,NGC_869,34.58076882163,57.18980427432
35.05391642458,57.1520740145,458364205537271424,134.7799065263,-3.6633504747,0.4116,-0.633,-1.179,227,14.045328,0.75153,0.7,NGC_869,35.05392144921,57.15207909075
34.78077403032,57.1850522591,458378189950782848,134.6290148637,-3.681874396,0.4801,-0.633,-0.89,236,16.739567,1.392709,0.8,NGC_869,34.78077905944,57.18505609104
35.15421964078,57.14196649487,458363243464596992,134.8346487822,-3.6544945642,0.4568,-0.749,-1.108,272,16.728186,1.356342,0.7,NGC_869,35.15422558458,57.14197126543
34.5101840187,56.99056397309,458369290778446848,134.5544979682,-3.9140676781,0.3751,-0.671,-1.173,252,16.169413,1.323897,0.5,NGC_869,34.51018932184,56.99056902351
34.98948068551,57.16449608681,458375612970404352,134.7427436249,-3.6634085002,0.3145,-0.753,-0.779,250,16.146206,1.346458,0.3,NGC_869,34.98948666469,57.16449944084
34.74201163046,57.17096482167,458377842048327296,134.6138561981,-3.7021490364,0.3624,-0.677,-1.039,234,12.523183,0.619685,0.8,NGC_869,34.7420170071,57.17096929514
34.6173160536,57.20836837742,458379014584350592,134.5375514159,-3.6892585668,0.4698,-0.408,-1.193,271,8.102315,0.462356,0.9,NGC_869,34.61731929716,57.20837351395
34.70301361968,57.19093908611,458378121231307648,134.5872303775,-3.6903281968,0.4966,-0.783,-0.762,253,17.427525,1.667782,0.4,NGC_869,34.70301984152,57.19094236694
34.61734039585,57.20998555001,458379014584350464,134.5370281532,-3.6877279623,0.3958,-0.738,-1.003,155,14.632925,0.648737,0.7,NGC_869,34.61734626314,57.20998986848
35.04364957726,57.16149289486,458364205537263744,134.7714741684,-3.6563572928,0.51,-0.547,-1.105,235,15.416323,0.961022,0.5,NGC_869,35.04365392035,57.1614976525
34.60749256988,57.17306356378,458372898545112576,134.5442108416,-3.724338468,0.3711,-0.768,-0.877,225,15.623305,,0.8,NGC_869,34.60749866958,57.17306733975
34.94542618729,56.98614662295,458361181880514944,134.7801342804,-3.8394477721,0.3974,-0.745,-0.634,263,15.809112,1.04276,0.4,NGC_869,34.94543207458,56.98614935267
34.49388111934,56.9902895508,458369290778447360,134.5461818235,-3.9172489088,0.4313,-0.525,-1.176,250,13.070663,0.457822,0.5,NGC_869,34.49388526856,56.99029461413
35.03606314554,57.03758627108,458360937053687680,134.809392939,-3.774416758,0.2941,-0.491,-0.78,253,12.616782,0.620907,0.3,NGC_869,35.03606703099,57.03758962941
34.41919572239,57.006682707,458370179827199232,134.5022737293,-3.9151213847,0.4798,-0.739,-0.962,254,15.037821,0.655386,0.7,NGC_869,34.41920156548,57.00668684894
34.69078404821,57.19271091431,458378086871568640,134.5803772968,-3.6908549268,0.3411,-0.723,-1.07,278,16.75152,1.337028,0.5,NGC_869,34.69078979356,57.19271552125
34.60650504565,57.20391732075,458378980224612992,134.5334877414,-3.695394778,0.4676,-0.862,-1.285,288,15.823562,1.155753,0.7,NGC_869,34.60651189765,57.20392285339
34.60269217429,57.20509344509,458379048944089600,134.5311450444,-3.6949670698,0.3709,-0.858,-1.092,249,12.98807,0.58445,0.8,NGC_869,34.60269899471,57.20509814676
34.77317131707,57.1369947096,458374788333338112,134.641151078,-3.7285632911,0.4324,-0.795,-1.008,209,16.594032,1.319555,0.5,NGC_869,34.77317762506,57.1369990496
34.82116836537,57.00554116207,458367263554200448,134.7097041414,-3.8438097341,0.4007,-1.103,-0.275,251,15.81111,1.25294,0.1,NGC_869,34.82117708626,57.0055423461
34.60290102156,57.208578072,458379048944089216,134.5300983763,-3.6916407429,0.4127,-0.727,-1.539,231,13.153596,0.517211,0.5,NGC_869,34.60290680118,57.20858469825
34.79384239391,57.18098017741,458378189950785408,134.6370658342,-3.6833552302,0.4266,-0.835,-1.144,241,14.315051,0.786272,0.9,NGC_869,34.79384902716,57.18098510297
34.53366439587,57.15473157929,458372619368098688,134.5124006526,-3.754851951,0.4007,-0.73,-1.528,231,13.011834,0.571096,0.3,NGC_869,34.53367019089,57.15473815818
34.60642144828,57.20476715035,458378980224612736,134.5331635173,-3.6946076465,0.3492,-0.961,-0.831,290,16.59347,1.220443,0.4,NGC_869,34.6064290874,57.20477072827
34.58771833419,57.15499359198,458372756807052032,134.5400504743,-3.744935952,0.4268,-0.557,-1.145,250,13.539227,0.62201,0.7,NGC_869,34.5877227559,57.15499852184
