,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_weight_al,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,matched_observations,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,l,b,Ecl_Lon,Ecl_Lat,ruwe,dist_869_center,dist_884_center,Cluster,PMemb
28750,4.58379e+17,34.610226,0.017083848,57.2107,0.021586234,0.37612683,0.030820059,12.20396,-0.6651205,0.051631894,-0.93949944,0.055959243,0.2755585,0.05380195,-0.07421,-0.05875583,-0.1450313,-0.1461079,-0.01526599,0.4891825,0.2672247,0.3257458,220.0,219.0,-3.360007,151.2129,85.72501,-0.04515361,25.0,12.0,0.06687677,31.0,230.0,73940.484,20.103867,3677.924,13.51616,26.0,45599.84,79.72631,571.9547,13.70398,24.0,43860.68,66.51617,659.3987,13.15673,1.209899,0.5472479,0.1878195,0.3594284,134.53314,-3.6883266,54.138878,40.461952,0.89184684,0.1622376,0.9893262,NGC_869,0.98
28782,4.58365e+17,34.748722,0.021961933,56.894142,0.025135223,0.4425279,0.03490664,12.67747,-0.7950688,0.09070317,-1.0147095,0.073476225,0.1552114,-0.1981148,0.4949914,-0.1619294,-0.07434312,-0.2037526,0.009478595,-0.1966333,0.3038284,0.1071198,237.0,235.0,-4.949937,138.8558,40.74436,-0.02404358,27.0,11.0,0.09505834,30.0,254.0,33999.965,9.441094,3601.273,14.35967,27.0,18773.605,33.475002,560.8246,14.66752,27.0,22633.443,46.11763,490.7763,13.87504,1.217856,0.7924747,0.3078489,0.4846258,134.70956,-3.9620087,54.050056,40.143684,0.8768923,0.23419482,0.87800515,NGC_869,0.95
28788,4.584102e+17,35.903496,0.019269018,57.171345,0.026658414,0.40545607,0.031627685,12.81966,-0.42872322,0.058545984,-0.88432145,0.07516304,0.3038997,0.02229161,-0.143793,-0.1396924,-0.2124781,-0.188023,-0.1254193,0.260904,0.1463598,0.4293988,251.0,251.0,-2.671741,190.806,25.71535,0.09533329,30.0,13.0,0.08655011,31.0,255.0,21209.361,7.581641,2797.463,14.87205,30.0,11090.899,14.035187,790.221,15.23897,30.0,15027.74,20.6014,729.4524,14.31969,1.231467,0.9192858,0.3669252,0.5523605,135.20688,-3.4872484,54.948162,40.127934,0.9816525,1.1542976,0.31113368,NGC_884,0.876
28824,4.5837265e+17,34.59099,0.031472955,57.128094,0.046788137,0.33727086,0.060081292,5.613575,-0.8020136,0.09465471,-0.8606195,0.10541278,0.1236998,0.07771615,-0.02823067,-0.0002663737,-0.2787849,-0.117673,0.01830365,0.3103723,0.2677943,0.1998711,245.0,243.0,1.346171,267.8727,7.255946,0.01351066,28.0,13.0,0.1057108,30.0,260.0,6813.234,4.5475636,1498.216,16.10498,27.0,3194.5608,11.835594,269.9113,16.59036,29.0,5390.6787,15.035709,358.5251,15.43281,1.260083,1.157549,0.4853783,0.6721706,134.55063,-3.7697418,54.079834,40.391865,1.0955557,0.15901019,1.0048481,NGC_869,0.878
28829,4.5837898e+17,34.606506,0.027467461,57.20392,0.037186768,0.46755892,0.048065722,9.727492,-0.862343,0.09035512,-1.2854984,0.09199417,0.2758445,-0.04524497,0.04911622,-0.02863561,-0.1648277,-0.07635987,0.05355339,0.2210976,0.1956325,0.2207533,272.0,271.0,0.2392734,270.8818,9.529745,-0.01909999,31.0,13.0,0.09810687,34.0,288.0,8829.207,5.0292745,1755.563,15.82356,26.0,4165.6636,16.880335,246.7761,16.30218,25.0,7017.7593,16.324938,429.8797,15.14642,1.26664,1.155753,0.4786158,0.6771374,134.5335,-3.6953948,54.13265,40.4567,1.0570902,0.16218469,0.99247015,NGC_869,0.913
28846,4.5837918e+17,34.6236,0.031888265,57.238102,0.04371591,0.43179238,0.057421327,7.519722,-0.8814027,0.10172037,-1.2930436,0.100673735,0.183817,0.02703767,0.01948659,0.01051017,-0.2902736,-0.06905504,-0.003353416,0.2309601,0.2351699,0.2048623,246.0,245.0,-0.3173188,232.4616,7.584922,-0.03597018,28.0,13.0,0.1059254,32.0,269.0,7245.8647,5.922391,1223.469,16.03814,25.0,3460.751,20.243233,170.9584,16.50346,23.0,5710.4917,18.157387,314.4997,15.37024,1.265721,1.133225,0.4653225,0.6679029,134.53091,-3.6600704,54.16297,40.483574,1.0204437,0.16741003,0.9787899,NGC_869,0.935
28853,4.5841523e+17,35.862213,0.03221584,57.259335,0.040807046,0.40959522,0.051995184,7.877561,-0.8255439,0.106840014,-1.104538,0.116753384,0.3868667,-0.120858,-0.09748691,-0.1534333,-0.1319456,-0.1801004,-0.03363026,0.2102091,0.1673053,0.3917959,246.0,245.0,-0.8072,222.1122,8.757699,0.01509552,28.0,13.0,0.1272769,29.0,254.0,8003.655,5.4017243,1481.685,15.93015,27.0,3891.749,14.08653,276.2745,16.37603,27.0,6092.186,11.201957,543.8502,15.29999,1.247422,1.076039,0.4458809,0.6301584,135.15515,-3.4125748,54.970207,40.217144,1.0017226,1.1199014,0.2983354,NGC_884,0.921
28919,4.5837107e+17,34.60582,0.019052336,57.048885,0.029094355,0.45636183,0.036021955,12.66899,-0.5160232,0.06453026,-0.866785,0.0888685,0.1827826,0.001232294,0.06256232,-0.1779556,-0.2248423,-0.2331126,-0.141763,0.0774771,0.2941037,0.2769085,216.0,215.0,-2.299195,165.7468,33.75684,0.05033813,25.0,11.0,0.09460722,28.0,232.0,28276.184,9.855342,2869.123,14.55981,26.0,15268.455,37.710197,404.8893,14.8919,26.0,19791.67,30.793497,642.7224,14.02071,1.239917,0.8711863,0.3320866,0.5390997,134.58447,-3.8418417,54.04472,40.31688,1.0079536,0.1646205,0.992935,NGC_869,0.959
28929,4.5837228e+17,34.590374,0.053524397,57.114445,0.07464629,0.42701527,0.09860453,4.330585,-0.72667664,0.16046146,-0.7611307,0.17148122,0.2286522,0.06408662,-0.02536334,-0.01046474,-0.2145591,-0.12478,0.06013528,0.34969,0.2360805,0.223683,273.0,272.0,3.971264,368.8576,2.196658,-0.01654533,31.0,13.0,0.168659,32.0,283.0,2639.2578,5.73642,460.088,17.13466,29.0,1012.98926,19.176962,52.82324,17.83738,28.0,2542.067,22.711105,111.9306,16.24895,1.346991,1.588423,0.7027149,0.8857079,134.55482,-3.7827332,54.071735,40.37969,1.1451113,0.16022904,1.0055147,NGC_869,0.744
28961,4.5837898e+17,34.60155,0.0165766,57.19457,0.023782397,0.41203132,0.029383287,14.02264,-0.653029,0.048973482,-1.147322,0.059683632,0.333431,0.05797278,-0.04864011,-0.04235114,-0.1561227,-0.1142706,0.04415993,0.3175152,0.1342627,0.3014153,251.0,249.0,-2.064552,200.5895,48.97193,-0.006402382,29.0,13.0,0.06811998,32.0,267.0,41388.01,11.582445,3573.34,14.14618,26.0,24745.799,46.167187,536.004,14.36763,27.0,25534.418,60.27955,423.6,13.74411,1.21485,0.6235294,0.2214556,0.4020739,134.53404,-3.7051039,54.12418,40.449413,0.977822,0.16255675,0.9967143,NGC_869,0.995
